iter	RMSE
337	0.2738048654
338	0.2737576553
339	0.2736915541
340	0.2736471851
341	0.2736101146
342	0.2735558575
343	0.2735137442
344	0.2734642478
345	0.2734250439
346	0.2733726257
347	0.273330992
348	0.2733020561
349	0.2732452089
350	0.2732075698
351	0.2731540874
352	0.2731222509
353	0.2730639996
354	0.2730090864
355	0.2729864098
356	0.272945385
357	0.2729039547
358	0.2728707381
359	0.2728510487
360	0.2728258131
361	0.2727773443
362	0.2727270416
363	0.2726778533
364	0.2726152289
365	0.2725522749
366	0.2725018065
367	0.2724790187
368	0.2724480246
369	0.2724099688
370	0.2723640747
371	0.2723157099
372	0.2722687594
373	0.2722425763
374	0.2721783926
375	0.2721361185
376	0.2720871469
377	0.2720430061
378	0.2719964525
379	0.271964412
380	0.2719031109
381	0.2718554941
382	0.2718114698
383	0.2717753616
384	0.2717190467
385	0.2716851626
386	0.2716440649
387	0.2716085037
388	0.2715537575
389	0.2715203234
390	0.2714764666
391	0.2714399841
392	0.271391105
393	0.271355303
394	0.2713209221
395	0.2712644261
396	0.2712175842
397	0.2711539917
398	0.2711089499
399	0.2710650634
400	0.2710035255
401	0.2709659746
402	0.2709322596
403	0.2708763543
404	0.2708257735
405	0.2707767759
406	0.2707597244
407	0.2707139085
408	0.2706641859
409	0.2706257117
410	0.2705788365
411	0.2705534943
412	0.2705030717
413	0.2704854333
414	0.2704525562
415	0.2703779641
416	0.2703447603
417	0.2703069105
418	0.2702457016
419	0.2702041365
420	0.2701503146
421	0.2701204888
422	0.2700673421
423	0.270027405
424	0.2699851934
425	0.2699436497
426	0.2698906393
427	0.2698598152
428	0.2698218054
429	0.2697884661
430	0.2697474902
431	0.269699861
432	0.2696662756
433	0.2696414078
434	0.2695859909
435	0.2695578562
436	0.2695023438
437	0.2694760408
438	0.2694277996
439	0.2693908105
440	0.2693641547
441	0.2693300864
442	0.2692956618
443	0.2692533937
444	0.2691888062
445	0.2691358596
446	0.2691010251
447	0.2690577109
448	0.2690064555
449	0.2689836666
450	0.2689453081
451	0.2689147087
452	0.2688703583
453	0.2688436533
454	0.2687784187
455	0.2687314104
456	0.2686949916
457	0.2686580767
458	0.2686219979
459	0.2685878796
460	0.2685214911
461	0.2684672386
462	0.2684157709
463	0.2683821893
464	0.2683427217
465	0.268312814
466	0.2682830253
467	0.2682250681
468	0.2681816147
469	0.2681501601
470	0.2681011898
471	0.2680816492
472	0.268037215
473	0.2679934388
474	0.2679666167
475	0.2679350875
476	0.2678831737
477	0.2678555804
478	0.2678165216
479	0.2677845294
480	0.2677463658
481	0.2677070345
482	0.2676714687
483	0.2676348117
484	0.2676022611
485	0.2675686629
486	0.2675039282
487	0.2674596113
488	0.2674216927
489	0.2673971397
490	0.2673678972
491	0.2673498795
492	0.2673162527
493	0.2672581509
494	0.2672120536
495	0.2671587362
496	0.2671409623
497	0.2670871829
498	0.2670628542
499	0.2670225774
500	0.2669981124
501	0.2669740162
502	0.2669539382
503	0.2669140066
504	0.2668896021
505	0.2668588835
506	0.266815701
507	0.2667580495
508	0.266723218
509	0.2666809475
510	0.2666290813
511	0.2666058297
512	0.2665666928
513	0.2665519056
514	0.2665076815
515	0.2664734603
516	0.2664418897
517	0.2663968125
518	0.2663793161
519	0.2663322485
520	0.26628232
521	0.2662611876
522	0.2662158543
523	0.2661726012
524	0.266147262
525	0.2661082137
526	0.2660689545
527	0.2660125205
528	0.2659594341
529	0.2659118949
530	0.2658851636
531	0.2658369314
532	0.2658123015
533	0.2657864949
534	0.2657375281
535	0.2657032796
536	0.2656758812
537	0.2656352365
538	0.2655807018
539	0.2655566272
540	0.265527302
541	0.2654865828
542	0.2654256589
543	0.2653896678
544	0.2653628177
545	0.2653377234
546	0.2653142867
547	0.2652558742
548	0.2652160216
549	0.2651674177
550	0.2651554745
551	0.2651074784
552	0.2650612499
553	0.2650082155
554	0.2649782504
555	0.2649371419
556	0.264891921
557	0.2648468781
558	0.2648090185
559	0.2647631785
560	0.2647290415
561	0.2646848743
562	0.2646705504
563	0.2646517141
564	0.2646245763
565	0.2645582492
566	0.2645173266
567	0.2644887564
568	0.2644549521
569	0.2644209527
570	0.2643889217
571	0.2643505823
572	0.2643123737
573	0.2642837292
574	0.2642360013
575	0.2642217379
576	0.2641958575
577	0.2641594078
578	0.2641266498
579	0.2640897439
580	0.2640608213
581	0.264028939
582	0.2639808321
583	0.2639490491
584	0.263915025
585	0.2638608528
586	0.2638401396
587	0.2638079879
588	0.2637901823
589	0.2637408048
590	0.2637217128
591	0.2636783984
592	0.2636361975
593	0.2635772702
594	0.263527406
595	0.263490778
596	0.2634342855
597	0.2634018786
598	0.2633683583
599	0.2633145834
600	0.2632653402
601	0.2632256792
602	0.2631948201
603	0.2631505705
604	0.2631152353
605	0.2630791104
606	0.2630628284
607	0.2630202603
608	0.2629622104
609	0.2629270246
610	0.2628867349
611	0.2628398904
612	0.262789176
613	0.2627608799
614	0.2627058558
615	0.2626917977
616	0.2626583189
617	0.2626118438
618	0.2625623088
619	0.2625196016
620	0.2624997811
621	0.2624743364
622	0.2624357651
623	0.2623992718
624	0.262362748
625	0.2623194534
626	0.2622651487
627	0.2622280939
628	0.2622050358
629	0.2621533916
630	0.2621262103
631	0.2620935884
632	0.2620659627
633	0.2620403819
634	0.2620049784
635	0.2619612638
636	0.2618978495
637	0.2618669007
638	0.2618321657
639	0.2617886315
640	0.261750331
641	0.2617033203
642	0.2616727908
643	0.2616489542
644	0.261607594
645	0.2615890643
646	0.2615714737
647	0.2615408808
648	0.261494459
649	0.2614753417
650	0.2614416565
651	0.261415169
652	0.2613832842
653	0.2613501257
654	0.261329401
655	0.2612790591
656	0.2612373184
657	0.2611935563
658	0.2611404184
659	0.2611017354
660	0.2610598034
661	0.2610000763
662	0.2609704603
663	0.2609249717
664	0.260907868
665	0.2608774118
666	0.2608471919
667	0.2608030083
668	0.260742193
669	0.2607050481
670	0.2606477577
671	0.2606110103
672	0.2605695061
673	0.2605370701
674	0.2605168323
675	0.2604719405
676	0.2604492711
677	0.2604185355
678	0.2603894863
679	0.2603529208
680	0.2603261698
681	0.2602833695
682	0.260256396
683	0.2602243694
684	0.2601888899
685	0.2601501616
686	0.2601215417
687	0.2600968351
688	0.2600663716
689	0.2600525407
690	0.2600240677
691	0.259988322
692	0.2599344516
693	0.2598983622
694	0.259865901
695	0.2598283121
696	0.2597857226
697	0.2597468049
698	0.2597001124
699	0.2596682774
700	0.2596523521
701	0.25961321
702	0.2595938464
703	0.259556332
704	0.2595375665
705	0.2595039981
706	0.2594714833
707	0.2594435991
708	0.2594102443
709	0.2593689383
710	0.2593155872
711	0.2592940125
712	0.2592577143
713	0.2592155555
714	0.2591870684
715	0.2591644681
716	0.2591374324
717	0.2591078394
718	0.2590809857
719	0.2590544309
720	0.2590421693
721	0.2590110623
722	0.2589502732
723	0.2589073223
724	0.2588776666
725	0.2588564925
726	0.2588171529
727	0.2587802469
728	0.2587466452
729	0.2587190888
730	0.2586724991
731	0.2586309857
732	0.2585649165
733	0.2585214687
734	0.2584954928
735	0.2584826053
736	0.2584487958
737	0.2584039991
738	0.258372149
739	0.2583393944
740	0.2583062435
741	0.2582847382
742	0.258239651
743	0.2582096914
744	0.258181065
745	0.2581543144
746	0.2581321481
747	0.2581053158
748	0.2580753095
749	0.2580601505
750	0.2580167431
751	0.2579847057
752	0.2579516036
753	0.2579168312
754	0.257881211
755	0.2578439851
756	0.2578040739
757	0.2577805769
758	0.2577550678
759	0.2577216077
760	0.257683
761	0.2576642497
762	0.2576359205
763	0.2576222224
764	0.2575696587
765	0.2575522984
766	0.25751228
767	0.2574867973
768	0.2574419346
769	0.2573999971
770	0.2573596346
771	0.2573336324
772	0.2573024683
773	0.2572711759
774	0.2572334885
775	0.2572073486
776	0.2571782631
777	0.2571563641
778	0.2571002469
779	0.2570608291
780	0.2570318713
781	0.2570098562
782	0.2569902796
783	0.2569545663
784	0.2569178917
785	0.2568828679
786	0.2568552166
787	0.2568153766
788	0.2567843814
789	0.2567586599
790	0.2567177789
791	0.2566911517
792	0.2566553474
793	0.256625353
794	0.2565872294
795	0.2565380931
796	0.2565122382
797	0.2564816746
798	0.256443855
799	0.2564210725
800	0.256370042
801	0.2563380538
802	0.2563225379
803	0.2562799263
804	0.2562384267
805	0.2561983184
806	0.2561688744
807	0.2561394622
808	0.2561248495
809	0.2560929568
810	0.2560701629
811	0.2560362492
812	0.2560127278
813	0.2559959012
814	0.255977205
815	0.2559513226
816	0.2559082795
817	0.2558569576
818	0.2558338094
819	0.2558048644
820	0.2557771001
821	0.2557440846
822	0.2556891047
823	0.2556346898
824	0.2555843761
825	0.2555436568
826	0.2555113345
827	0.2554828828
828	0.2554580903
829	0.2554297133
830	0.255398105
831	0.2553580616
832	0.2553176267
833	0.2552699839
834	0.2552483473
835	0.2552014049
836	0.2551631569
837	0.255130371
838	0.2551118709
839	0.2550497805
840	0.2550127343
841	0.2549908276
842	0.2549539477
843	0.254916624
844	0.254861634
845	0.2548135538
846	0.2547725347
847	0.2547395426
848	0.2547115553
849	0.2546664019
850	0.2546267909
851	0.2545914637
852	0.2545762223
853	0.2545468231
854	0.2545226183
855	0.2544963968
856	0.2544509272
857	0.2544020447
858	0.2543787982
859	0.254333251
860	0.2543057922
861	0.2542690414
862	0.2542141498
863	0.2541754754
864	0.2541450829
865	0.2540979081
866	0.2540616996
867	0.2540257509
868	0.2539949613
869	0.2539588906
870	0.2539307688
871	0.2539080194
872	0.2538766191
873	0.2538365893
874	0.2538111922
875	0.2537791934
876	0.2537619032
877	0.2537358402
878	0.2537101155
879	0.2536538788
880	0.2536180534
881	0.2535841399
882	0.2535481869
883	0.2535214382
884	0.2534709441
885	0.2534464892
886	0.2534146014
887	0.2533560253
888	0.2533285709
889	0.253299029
890	0.2532825166
891	0.2532300306
892	0.253201726
893	0.2531729875
894	0.2531561634
895	0.253114811
896	0.253075128
897	0.2530421248
898	0.2530094972
899	0.2529903272
900	0.252971794
901	0.2529431765
902	0.2529239543
903	0.2528973717
904	0.2528602603
905	0.252832546
906	0.252806334
907	0.2527659691
908	0.2527218533
909	0.2526908444
910	0.2526337403
911	0.2526201431
912	0.2526056485
913	0.2525705968
914	0.2525404413
915	0.2525221917
916	0.252489011
917	0.2524569094
918	0.2524160996
919	0.2523766239
920	0.2523415663
921	0.2522944129
922	0.2522631039
923	0.2522136276
924	0.2521793055
925	0.252148348
926	0.2521101433
927	0.2520693731
928	0.2520354248
929	0.2520066533
930	0.251964355
931	0.2519324317
932	0.2519066075
933	0.2518576738
934	0.2518272901
935	0.2517998254
936	0.2517629732
937	0.2517368995
938	0.2516852944
939	0.2516402125
940	0.2516161206
941	0.2516008181
942	0.2515755176
943	0.251557737
944	0.2515202888
945	0.2514716959
946	0.2514305174
947	0.2514078745
948	0.2513707364
949	0.2513494698
950	0.2513245969
951	0.2512870495
952	0.2512471897
953	0.251216312
954	0.2511711505
955	0.2511509303
956	0.251112617
957	0.2510824803
958	0.2510521497
959	0.2510223526
960	0.2509798394
961	0.2509484503
962	0.2509007538
963	0.2508750171
964	0.2508545142
965	0.2508247974
966	0.2507885268
967	0.2507576661
968	0.2507116767
969	0.2506775215
970	0.2506510573
971	0.2506155381
972	0.2505869317
973	0.2505769332
974	0.2505601893
975	0.2505307226
976	0.2504982533
977	0.2504683407
978	0.2504383807
979	0.2504113263
980	0.2503793557
981	0.250334254
982	0.2502900662
983	0.2502650587
984	0.250230491
985	0.2502059244
986	0.2501823101
987	0.2501547954
988	0.250136083
989	0.2501033778
990	0.2500618927
991	0.2500276207
992	0.2499947309
993	0.2499569611
994	0.2499191621
995	0.2498951831
996	0.2498627344
997	0.2498345262
998	0.2498046166
999	0.2497797183
