iter	Passed	Remaining
402	7869	11658
403	7887	11635
404	7904	11613
405	7921	11589
406	7938	11565
407	7955	11543
408	8076	11670
409	8108	11668
410	8126	11646
411	8143	11621
412	8160	11598
413	8180	11579
414	8196	11554
415	8214	11531
416	8231	11507
417	8248	11484
418	8265	11461
419	8292	11451
420	8311	11430
421	8328	11406
422	8346	11384
423	8362	11360
424	8379	11336
425	8397	11314
426	8413	11290
427	8429	11266
428	8446	11242
429	8462	11218
430	8480	11195
431	8507	11185
432	8525	11164
433	8542	11140
434	8560	11118
435	8577	11096
436	8595	11073
437	8613	11051
438	8630	11028
439	8646	11004
440	8664	10982
441	8681	10960
442	8698	10937
443	8727	10929
444	8746	10908
445	8765	10887
446	8782	10864
447	8798	10841
448	8816	10819
449	8833	10796
450	8850	10773
451	8866	10749
452	8884	10727
453	8901	10705
454	8922	10687
455	8953	10681
456	8973	10661
457	8993	10642
458	9012	10622
459	9032	10603
460	9052	10584
461	9072	10564
462	9092	10545
463	9112	10526
464	9143	10519
465	9167	10505
466	9186	10484
467	9206	10465
468	9224	10443
469	9241	10421
470	9258	10399
471	9275	10376
472	9292	10353
473	9313	10335
474	9366	10352
475	9412	10361
476	9466	10379
477	9517	10393
478	9561	10399
479	9608	10409
480	9664	10427
481	9702	10427
482	9744	10430
483	9767	10413
484	9797	10403
485	9815	10380
486	9833	10358
487	9851	10335
488	9869	10313
489	9888	10292
490	9908	10271
491	9928	10251
492	9949	10231
493	9980	10222
494	10005	10208
495	10026	10188
496	10046	10168
497	10072	10153
498	10093	10134
499	10115	10115
500	10134	10093
501	10156	10075
502	10188	10066
503	10209	10047
504	10228	10026
505	10247	10004
506	10267	9983
507	10287	9963
508	10307	9942
509	10338	9933
510	10364	9918
511	10384	9897
512	10404	9876
513	10425	9857
514	10445	9837
515	10465	9816
516	10484	9795
517	10506	9776
518	10528	9757
519	10553	9742
520	10574	9721
521	10593	9700
522	10612	9679
523	10633	9659
524	10652	9637
525	10672	9617
526	10692	9597
527	10714	9577
528	10744	9566
529	10764	9546
530	10783	9524
531	10803	9504
532	10823	9483
533	10842	9461
534	10863	9441
535	10882	9420
536	10902	9400
537	10922	9379
538	10951	9366
539	10968	9343
540	10985	9320
541	11003	9298
542	11021	9275
543	11037	9252
544	11054	9228
545	11072	9207
546	11095	9189
547	11115	9167
548	11133	9145
549	11161	9132
550	11179	9110
551	11197	9087
552	11214	9064
553	11231	9042
554	11248	9019
555	11266	8996
556	11283	8973
557	11301	8952
558	11319	8930
559	11338	8909
560	11368	8896
561	11387	8874
562	11404	8851
563	11421	8829
564	11439	8807
565	11457	8785
566	11477	8764
567	11497	8744
568	11515	8722
569	11532	8700
570	11549	8677
571	11577	8662
572	11595	8640
573	11612	8618
574	11629	8595
575	11648	8574
576	11666	8552
577	11683	8530
578	11700	8507
579	11717	8485
580	11735	8463
581	11751	8440
582	11769	8418
583	11799	8404
584	11817	8383
585	11842	8366
586	11863	8346
587	11881	8325
588	11899	8303
589	11918	8282
590	11971	8284
591	12023	8286
592	12084	8294
593	12161	8312
594	12211	8312
595	12255	8307
596	12310	8309
597	12348	8301
598	12367	8279
599	12388	8258
600	12413	8241
601	12435	8221
602	12470	8210
603	12490	8189
604	12509	8167
605	12527	8144
606	12545	8122
607	12563	8100
608	12583	8079
609	12602	8057
610	12619	8034
611	12656	8024
612	12682	8006
613	12699	7983
614	12717	7961
615	12734	7938
616	12751	7915
617	12769	7893
618	12786	7870
619	12803	7847
620	12820	7824
621	12838	7802
622	12858	7781
623	12937	7795
624	12972	7783
625	12998	7765
626	13019	7745
627	13048	7729
628	13072	7710
629	13093	7689
630	13112	7668
631	13134	7648
632	13174	7638
633	13194	7616
634	13212	7594
635	13229	7571
636	13248	7549
637	13266	7527
638	13284	7504
639	13304	7483
640	13325	7462
641	13345	7441
642	13365	7420
643	13400	7407
644	13418	7385
645	13436	7363
646	13460	7343
647	13478	7321
648	13496	7299
649	13513	7276
650	13529	7253
651	13546	7230
652	13564	7208
653	13581	7185
654	13617	7172
655	13636	7150
656	13653	7128
657	13672	7106
658	13692	7085
659	13710	7063
660	13729	7041
661	13746	7018
662	13764	6996
663	13782	6974
664	13799	6951
665	13826	6933
666	13843	6911
667	13861	6889
668	13879	6867
669	13897	6844
670	13917	6823
671	13935	6801
672	13954	6780
673	13971	6757
674	13988	6735
675	14007	6713
676	14024	6691
677	14056	6675
678	14073	6653
679	14095	6633
680	14116	6612
681	14135	6590
682	14152	6568
683	14170	6546
684	14189	6525
685	14206	6502
686	14223	6480
687	14241	6458
688	14268	6440
689	14285	6418
690	14301	6395
691	14319	6373
692	14337	6351
693	14355	6329
694	14373	6307
695	14391	6285
696	14409	6264
697	14427	6242
698	14445	6220
699	14472	6202
700	14490	6180
701	14508	6159
702	14525	6136
703	14542	6114
704	14566	6095
705	14584	6073
706	14605	6053
707	14622	6030
708	14640	6009
709	14659	5987
710	14687	5970
711	14708	5949
712	14728	5928
713	14752	5909
714	14774	5889
715	14795	5868
716	14813	5847
717	14833	5826
718	14853	5804
719	14879	5786
720	14899	5765
721	14919	5744
722	14940	5723
723	14960	5702
724	14980	5682
725	14999	5660
726	15023	5641
727	15044	5620
728	15063	5599
729	15101	5585
730	15122	5564
731	15141	5543
732	15162	5523
733	15183	5502
734	15208	5483
735	15228	5462
736	15248	5441
737	15267	5420
738	15286	5398
739	15317	5381
740	15337	5360
741	15356	5339
742	15376	5318
743	15397	5298
744	15415	5276
745	15434	5255
746	15453	5233
747	15472	5212
748	15491	5191
749	15508	5169
750	15532	5149
751	15556	5130
752	15574	5108
753	15592	5087
754	15609	5065
755	15626	5043
756	15650	5023
757	15714	5016
758	15757	5003
759	15775	4981
760	15793	4960
761	15831	4944
762	15885	4934
763	15902	4912
764	15930	4893
765	15979	4881
766	16019	4866
767	16036	4844
768	16056	4823
769	16073	4801
770	16091	4779
771	16120	4760
772	16139	4739
773	16157	4717
774	16174	4695
775	16191	4673
776	16208	4651
777	16224	4629
778	16242	4608
779	16260	4586
780	16276	4564
781	16293	4542
782	16321	4523
783	16339	4501
784	16357	4480
785	16374	4458
786	16391	4436
787	16409	4414
788	16427	4393
789	16445	4371
